# ZAP Scanner Rules — False Positive Suppression
# Format: Rule-ID	IGNORE|WARN|FAIL	Description
#
# Reference: https://www.zaproxy.org/docs/desktop/addons/alert-filters/
# Rule IDs: https://www.zaproxy.org/docs/alerts/
#
# Legend:
#   IGNORE = suppress the alert entirely
#   WARN   = report but do not fail the CI job
#   FAIL   = fail the CI job on this alert
#
# Maintain this file. Review suppressed rules quarterly and remove
# any that no longer apply after security improvements are made.
#
# Last reviewed: April 2026

# ─── Content Security Policy ───────────────────────────────────────────────
# CSP is now deployed in vercel.json. If this fires it means the header
# regressed — treat as a build failure.
# Note: 'unsafe-inline' will still trigger rule 10055 (Wildcard) — suppress
# that specific sub-rule until nonce-based CSP is implemented post-migration.
10038	FAIL	Content Security Policy (CSP) Header Not Set
10055	WARN	CSP: Wildcard Directive (unsafe-inline; planned fix post-GovCloud migration)

# ─── X-Frame-Options ───────────────────────────────────────────────────────
# X-Frame-Options: DENY is now deployed. Regressions should fail the build.
# CSP frame-ancestors 'none' is the modern equivalent; both are set.
10020	FAIL	Missing Anti-clickjacking Header

# ─── Cache Control ─────────────────────────────────────────────────────────
# Static assets on Vercel CDN have immutable cache headers by design.
# API routes set no-store. This alert fires on CDN edge responses.
10015	IGNORE	Re-examine Cache-control Directives

# ─── Information Disclosure — Informational ────────────────────────────────
# Vercel returns Server: Vercel header; not a vulnerability.
10036	IGNORE	Server Leaks Version Information via "Server" HTTP Response Header

# ─── Alerts that should FAIL the build ─────────────────────────────────────
# Any of these found = critical security issue, must block merge.
40018	FAIL	SQL Injection
40012	FAIL	Cross Site Scripting (Reflected)
40014	FAIL	Cross Site Scripting (Persistent)
40016	FAIL	Cross Site Scripting (Persistent) - Prime
40017	FAIL	Cross Site Scripting (Persistent) - Spider
90022	FAIL	Application Error Disclosure
40003	FAIL	CRLF Injection
40008	FAIL	Parameter Tampering
30002	FAIL	Format String Error
90020	FAIL	Remote OS Command Injection
